Item,Quantity,Unit Price,Total Price,URL
XIAO NRF52840,2,10.4,20.8,https://www.mouser.com/ProductDetail/Seeed-Studio/102010672?qs=sqEgtWRSLJ0SuHAgTfdO0A%3D%3D
Hotswap Socket (10 Pack),60,2.5,15,https://www.mouser.com/ProductDetail/Adafruit/5118?qs=TCDPyi3sCW0NahZ3INJp%2FA%3D%3D
Red Choc Switches (10 Pack),60,4.5,27,https://chosfox.com/products/kailh-chocs?variant=42514647613634
1N4148 Diodes,56,0.045,2.7,https://www.mouser.com/ProductDetail/Diotec-Semiconductor/1N4148W?qs=OlC7AqGiEDmsbkbAeXQtXg%3D%3D
PCM12SMTR Switch,2,1.16,2.32,https://www.mouser.com/ProductDetail/CK/PCM12SMTR?qs=mfFuHy8STfL3qrPSfCHA7w%3D%3D
PCB,5,,14.8,https://jlcpcb.com
Case (3D Printed),4,,0,
Keycaps (3D Printed),56,,0,
Shipping (Mouser),,,8.49,
Shipping (JLCPCB),,,11.99,
Shipping (ChosFox),,,6.8,
Tarrif Estimate (Mouser),,,6.27,
,,,,
Overall Cost,,,116.17,
Grant Needed,,,89.38,
(I will pay for the PCB to let this fit into tier 3),,,,
